dest_id,cost,total_bdt,?column?
2073281,31,11494.1292,0.00577839402529561
2073281,32,111532.884,0.0560704459916449
2073281,33,392212.5225,0.197175310736904
2073281,34,837081.2781,0.420822262556424
2073281,35,1157103.2544,0.581705531191965
2073281,36,1411431.3,0.709562773231679
2073281,37,1657751.955,0.833394494312291
2073281,38,1848505.0431,0.929290972018815
2073281,39,1919674.5849,0.965069728979382
2073281,40,1955299.8447,0.982979462269827
2073281,41,1970980.0143,0.990862286340768
2073281,42,1980985.4109,0.995892256243504
2073281,43,1985392.4664,0.998107796257648
2073281,44,1985821.0296,0.998323245987789
2073281,45,1987793.4315,0.999314823092598
2073281,46,1988333.6967,0.999586428287688
2073281,47,1989156.3555,1
2073281,48,1989156.3555,1
2073281,49,1989156.3555,1
2073281,50,1989156.3555,1
2080336,31,18708.3618,0.0110755800885574
2080336,32,98244.3654,0.058161871620272
2080336,33,284344.6323,0.16833551657046
2080336,34,548309.4144,0.324605911379008
2080336,35,851729.624099999,0.504234404185857
2080336,36,1108780.1376,0.656411467015274
2080336,37,1347034.9509,0.797461244350052
2080336,38,1508961.6909,0.893323864312267
2080336,39,1628317.0758,0.96398371890523
2080336,40,1654384.3338,0.97941585597605
2080336,41,1674129.9756,0.991105518571514
2080336,42,1682246.3211,0.995910494847505
2080336,43,1685951.2878,0.998103880663429
2080336,44,1687479.4368,0.999008563650517
2080336,45,1687925.358,0.999272554480744
2080336,46,1687925.358,0.999272554480744
2080336,47,1688608.9605,0.999677255561386
2080336,48,1689154.1256,1
2080336,49,1689154.1256,1
2080336,50,1689154.1256,1
2083532,31,37288.1991,0.0205382378598938
2083532,32,106044.3111,0.0584089158937251
2083532,33,200067.114,0.110196418021016
2083532,34,424621.2636,0.233880228133235
2083532,35,800389.6203,0.440852409048402
2083532,36,1169250.4485,0.644019942198831
2083532,37,1452919.0047,0.80026380543781
2083532,38,1664937.2112,0.917042852450704
2083532,39,1754605.0401,0.966431646835479
2083532,40,1795433.4171,0.988919804979309
2083532,41,1806561.6621,0.995049211823556
2083532,42,1812954.5535,0.998570398884201
2083532,43,1814551.1238,0.999449785429352
2083532,44,1815550.0659,1
2083532,45,1815550.0659,1
2083532,46,1815550.0659,1
2083532,47,1815550.0659,1
2083532,48,1815550.0659,1
2083532,49,1815550.0659,1
2083532,50,1815550.0659,1
2096567,30,2494.101,0.00119348012180114
2096567,31,151048.005,0.0722796676659122
2096567,32,434030.9052,0.207692975386143
2096567,33,678905.1672,0.324870493071965
2096567,34,1018454.316,0.487351948100167
2096567,35,1372123.7049,0.65659023690311
2096567,36,1646098.3854,0.787692920817503
2096567,37,1789451.9022,0.856290613008431
2096567,38,1889383.7481,0.904110116555619
2096567,39,2015075.32860001,0.964256198372081
2096567,40,2055330.46740001,0.983519134379142
2096567,41,2074583.82120001,0.992732271713318
2096567,42,2082801.98310001,0.996664836138493
2096567,43,2087102.90400001,0.998722917827883
2096567,44,2087354.93400001,0.998843519517669
2096567,45,2087783.20800001,0.999048457692059
2096567,46,2088387.90540001,0.99933781819775
2096567,47,2089161.03420001,0.999707776693574
2096567,48,2089771.71420001,1
2096567,49,2089771.71420001,1
2096567,50,2089771.71420001,1
